Order_Date,Order_Year,Order_Month,Order_Month_Name,Order_Year_Month,Order_Day,Order_Weekday,Order_Quarter
2019-08-29 12:19:30,2019,8,August,2019-08,29,Thursday,3
2019-08-29 15:03:25,2019,8,August,2019-08,29,Thursday,3
2019-09-03 10:33:47,2019,9,September,2019-09,3,Tuesday,3
2019-09-10 19:00:19,2019,9,September,2019-09,10,Tuesday,3
2019-10-08 07:45:01,2019,10,October,2019-10,8,Tuesday,4
2019-10-17 02:54:53,2019,10,October,2019-10,17,Thursday,4
2019-10-22 11:54:18,2019,10,October,2019-10,22,Tuesday,4
2019-11-01 06:26:06,2019,11,November,2019-11,1,Friday,4
2019-11-03 02:51:04,2019,11,November,2019-11,3,Sunday,4
2019-11-17 22:40:59,2019,11,November,2019-11,17,Sunday,4
2019-12-02 10:39:43,2019,12,December,2019-12,2,Monday,4
2019-12-23 18:48:57,2019,12,December,2019-12,23,Monday,4
2019-12-26 10:35:39,2019,12,December,2019-12,26,Thursday,4
2020-01-13 02:21:13,2020,1,January,2020-01,13,Monday,1
2020-01-25 15:31:16,2020,1,January,2020-01,25,Saturday,1
2020-01-30 07:28:54,2020,1,January,2020-01,30,Thursday,1
2020-02-04 01:40:25,2020,2,February,2020-02,4,Tuesday,1
2020-03-22 01:57:28,2020,3,March,2020-03,22,Sunday,1
2020-03-26 16:01:20,2020,3,March,2020-03,26,Thursday,1
2020-04-01 01:37:00,2020,4,April,2020-04,1,Wednesday,2
2020-04-21 08:19:01,2020,4,April,2020-04,21,Tuesday,2
2020-04-27 03:18:36,2020,4,April,2020-04,27,Monday,2
2020-05-03 19:52:49,2020,5,May,2020-05,3,Sunday,2
2020-06-07 04:23:58,2020,6,June,2020-06,7,Sunday,2
2020-06-08 14:07:55,2020,6,June,2020-06,8,Monday,2
2020-06-26 22:31:57,2020,6,June,2020-06,26,Friday,2
2020-07-06 22:44:31,2020,7,July,2020-07,6,Monday,3
2020-07-18 04:43:28,2020,7,July,2020-07,18,Saturday,3
2020-08-24 18:11:32,2020,8,August,2020-08,24,Monday,3
2020-09-19 20:12:46,2020,9,September,2020-09,19,Saturday,3
2020-09-21 14:44:49,2020,9,September,2020-09,21,Monday,3
2020-09-24 01:12:16,2020,9,September,2020-09,24,Thursday,3
2020-09-25 17:40:17,2020,9,September,2020-09,25,Friday,3
2020-12-27 02:27:42,2020,12,December,2020-12,27,Sunday,4
2021-01-07 20:22:41,2021,1,January,2021-01,7,Thursday,1
2021-01-09 14:26:24,2021,1,January,2021-01,9,Saturday,1
2021-01-15 18:15:31,2021,1,January,2021-01,15,Friday,1
2021-01-30 16:18:38,2021,1,January,2021-01,30,Saturday,1
2021-02-01 06:35:44,2021,2,February,2021-02,1,Monday,1
2021-02-02 16:23:14,2021,2,February,2021-02,2,Tuesday,1
2021-02-05 19:38:50,2021,2,February,2021-02,5,Friday,1
2023-02-23 19:00:54,2023,2,February,2023-02,23,Thursday,1
2023-02-23 22:23:46,2023,2,February,2023-02,23,Thursday,1
2023-02-23 22:52:06,2023,2,February,2023-02,23,Thursday,1
2023-02-24 01:47:44,2023,2,February,2023-02,24,Friday,1
2023-02-24 02:20:45,2023,2,February,2023-02,24,Friday,1
2023-02-24 03:49:54,2023,2,February,2023-02,24,Friday,1
2023-02-24 04:23:08,2023,2,February,2023-02,24,Friday,1
2023-02-24 05:53:18,2023,2,February,2023-02,24,Friday,1
2023-02-24 08:50:35,2023,2,February,2023-02,24,Friday,1
2023-02-24 09:16:55,2023,2,February,2023-02,24,Friday,1
2023-02-24 11:36:20,2023,2,February,2023-02,24,Friday,1
2023-02-24 11:47:39,2023,2,February,2023-02,24,Friday,1
2023-02-24 13:10:36,2023,2,February,2023-02,24,Friday,1
2023-02-24 14:35:41,2023,2,February,2023-02,24,Friday,1
2023-02-24 14:41:58,2023,2,February,2023-02,24,Friday,1
2023-02-24 21:54:09,2023,2,February,2023-02,24,Friday,1
2023-02-25 00:12:47,2023,2,February,2023-02,25,Saturday,1
2023-02-25 02:16:19,2023,2,February,2023-02,25,Saturday,1
2023-02-25 03:19:05,2023,2,February,2023-02,25,Saturday,1
2023-02-25 05:41:16,2023,2,February,2023-02,25,Saturday,1
2023-02-25 07:05:16,2023,2,February,2023-02,25,Saturday,1
2023-02-25 07:08:20,2023,2,February,2023-02,25,Saturday,1
2023-02-25 07:48:46,2023,2,February,2023-02,25,Saturday,1
2023-02-25 11:25:13,2023,2,February,2023-02,25,Saturday,1
2023-02-25 11:44:30,2023,2,February,2023-02,25,Saturday,1
2023-02-25 12:38:56,2023,2,February,2023-02,25,Saturday,1
2023-02-25 15:29:49,2023,2,February,2023-02,25,Saturday,1
2023-02-25 17:45:08,2023,2,February,2023-02,25,Saturday,1
2023-02-25 21:40:37,2023,2,February,2023-02,25,Saturday,1
2023-02-25 23:05:39,2023,2,February,2023-02,25,Saturday,1
2023-02-26 01:56:57,2023,2,February,2023-02,26,Sunday,1
2023-02-26 03:21:53,2023,2,February,2023-02,26,Sunday,1
2023-02-26 04:01:15,2023,2,February,2023-02,26,Sunday,1
2023-02-26 04:34:53,2023,2,February,2023-02,26,Sunday,1
2023-02-26 07:17:22,2023,2,February,2023-02,26,Sunday,1
2023-02-26 07:45:42,2023,2,February,2023-02,26,Sunday,1
2023-02-26 08:46:36,2023,2,February,2023-02,26,Sunday,1
2023-02-26 10:49:15,2023,2,February,2023-02,26,Sunday,1
2023-02-26 13:37:45,2023,2,February,2023-02,26,Sunday,1
2023-02-26 17:49:09,2023,2,February,2023-02,26,Sunday,1
2023-02-26 18:21:21,2023,2,February,2023-02,26,Sunday,1
2023-02-27 00:39:54,2023,2,February,2023-02,27,Monday,1
2023-02-27 02:17:11,2023,2,February,2023-02,27,Monday,1
2023-02-27 05:44:01,2023,2,February,2023-02,27,Monday,1
2023-02-27 12:11:55,2023,2,February,2023-02,27,Monday,1
2023-02-27 13:21:51,2023,2,February,2023-02,27,Monday,1
2023-02-27 17:02:23,2023,2,February,2023-02,27,Monday,1
2023-02-27 19:04:16,2023,2,February,2023-02,27,Monday,1
2023-02-27 19:41:26,2023,2,February,2023-02,27,Monday,1
2023-02-27 20:54:10,2023,2,February,2023-02,27,Monday,1
2023-02-27 23:03:59,2023,2,February,2023-02,27,Monday,1
2023-02-28 01:50:52,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 02:29:07,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 04:53:11,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 05:41:11,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 06:35:08,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 10:18:52,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 11:13:23,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 11:28:44,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 11:59:56,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 14:38:48,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 15:43:57,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 18:00:07,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 18:55:09,2023,2,February,2023-02,28,Tuesday,1
2023-02-28 23:38:05,2023,2,February,2023-02,28,Tuesday,1
2023-03-01 00:10:39,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 00:22:39,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 03:55:27,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 07:40:26,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 10:19:06,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 10:23:28,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 12:20:51,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 14:24:34,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 15:02:19,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 15:39:55,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 17:18:44,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 17:53:47,2023,3,March,2023-03,1,Wednesday,1
2023-03-01 21:47:08,2023,3,March,2023-03,1,Wednesday,1
2023-03-02 00:50:29,2023,3,March,2023-03,2,Thursday,1
2023-03-02 04:52:12,2023,3,March,2023-03,2,Thursday,1
2023-03-02 12:53:49,2023,3,March,2023-03,2,Thursday,1
2023-03-02 13:58:28,2023,3,March,2023-03,2,Thursday,1
2023-03-02 14:06:08,2023,3,March,2023-03,2,Thursday,1
2023-03-02 15:12:25,2023,3,March,2023-03,2,Thursday,1
2023-03-02 17:11:26,2023,3,March,2023-03,2,Thursday,1
2023-03-02 17:59:26,2023,3,March,2023-03,2,Thursday,1
2023-03-02 18:18:11,2023,3,March,2023-03,2,Thursday,1
2023-03-02 21:55:17,2023,3,March,2023-03,2,Thursday,1
2023-03-03 03:17:06,2023,3,March,2023-03,3,Friday,1
2023-03-03 05:23:01,2023,3,March,2023-03,3,Friday,1
2023-03-03 06:10:28,2023,3,March,2023-03,3,Friday,1
2023-03-03 10:14:10,2023,3,March,2023-03,3,Friday,1
2023-03-03 10:20:44,2023,3,March,2023-03,3,Friday,1
2023-03-03 11:55:48,2023,3,March,2023-03,3,Friday,1
2023-03-03 12:36:54,2023,3,March,2023-03,3,Friday,1
2023-03-04 02:58:29,2023,3,March,2023-03,4,Saturday,1
2023-03-04 06:02:02,2023,3,March,2023-03,4,Saturday,1
2023-03-04 09:48:24,2023,3,March,2023-03,4,Saturday,1
2023-03-04 11:31:25,2023,3,March,2023-03,4,Saturday,1
2023-03-04 12:55:09,2023,3,March,2023-03,4,Saturday,1
2023-03-04 13:05:30,2023,3,March,2023-03,4,Saturday,1
2023-03-04 14:51:48,2023,3,March,2023-03,4,Saturday,1
2023-03-04 18:02:11,2023,3,March,2023-03,4,Saturday,1
2023-03-04 20:18:47,2023,3,March,2023-03,4,Saturday,1
2023-03-04 22:20:20,2023,3,March,2023-03,4,Saturday,1
2023-03-04 22:30:51,2023,3,March,2023-03,4,Saturday,1
2023-03-04 23:29:01,2023,3,March,2023-03,4,Saturday,1
2023-03-05 01:04:21,2023,3,March,2023-03,5,Sunday,1
2023-03-05 03:18:38,2023,3,March,2023-03,5,Sunday,1
2023-03-05 03:47:35,2023,3,March,2023-03,5,Sunday,1
2023-03-05 04:49:02,2023,3,March,2023-03,5,Sunday,1
2023-03-05 07:54:23,2023,3,March,2023-03,5,Sunday,1
2023-03-05 18:46:51,2023,3,March,2023-03,5,Sunday,1
2023-03-05 20:49:44,2023,3,March,2023-03,5,Sunday,1
2023-03-05 23:22:55,2023,3,March,2023-03,5,Sunday,1
2023-03-06 01:34:38,2023,3,March,2023-03,6,Monday,1
2023-03-06 03:43:10,2023,3,March,2023-03,6,Monday,1
2023-03-06 04:24:08,2023,3,March,2023-03,6,Monday,1
2023-03-06 05:44:39,2023,3,March,2023-03,6,Monday,1
2023-03-06 06:55:53,2023,3,March,2023-03,6,Monday,1
2023-03-06 07:03:05,2023,3,March,2023-03,6,Monday,1
2023-03-06 12:41:30,2023,3,March,2023-03,6,Monday,1
2023-03-06 15:23:06,2023,3,March,2023-03,6,Monday,1
2023-03-06 17:40:10,2023,3,March,2023-03,6,Monday,1
2023-03-06 19:07:29,2023,3,March,2023-03,6,Monday,1
2023-03-06 22:51:09,2023,3,March,2023-03,6,Monday,1
2023-03-07 04:42:20,2023,3,March,2023-03,7,Tuesday,1
2023-03-07 06:20:42,2023,3,March,2023-03,7,Tuesday,1
2023-03-07 07:07:48,2023,3,March,2023-03,7,Tuesday,1
2023-03-07 07:16:52,2023,3,March,2023-03,7,Tuesday,1
2023-03-07 10:55:48,2023,3,March,2023-03,7,Tuesday,1
2023-03-07 11:37:11,2023,3,March,2023-03,7,Tuesday,1
2023-03-07 12:37:34,2023,3,March,2023-03,7,Tuesday,1
2023-03-07 17:11:43,2023,3,March,2023-03,7,Tuesday,1
2023-03-07 21:08:30,2023,3,March,2023-03,7,Tuesday,1
2023-03-08 01:35:48,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 02:18:28,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 02:44:44,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 03:57:24,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 04:11:48,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 05:50:10,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 06:30:31,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 08:10:38,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 08:17:37,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 12:53:22,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 14:14:03,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 15:32:00,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 17:07:17,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 19:13:01,2023,3,March,2023-03,8,Wednesday,1
2023-03-08 20:45:29,2023,3,March,2023-03,8,Wednesday,1
2023-03-09 00:02:40,2023,3,March,2023-03,9,Thursday,1
2023-03-09 03:32:34,2023,3,March,2023-03,9,Thursday,1
2023-03-09 05:54:21,2023,3,March,2023-03,9,Thursday,1
2023-03-09 07:01:02,2023,3,March,2023-03,9,Thursday,1
2023-03-09 09:00:34,2023,3,March,2023-03,9,Thursday,1
2023-03-09 14:29:51,2023,3,March,2023-03,9,Thursday,1
2023-03-09 16:36:21,2023,3,March,2023-03,9,Thursday,1
2023-03-10 01:00:51,2023,3,March,2023-03,10,Friday,1
2023-03-10 01:02:43,2023,3,March,2023-03,10,Friday,1
2023-03-10 03:05:01,2023,3,March,2023-03,10,Friday,1
2023-03-10 03:38:18,2023,3,March,2023-03,10,Friday,1
2023-03-10 03:59:23,2023,3,March,2023-03,10,Friday,1
2023-03-10 04:12:57,2023,3,March,2023-03,10,Friday,1
2023-03-10 04:45:52,2023,3,March,2023-03,10,Friday,1
2023-03-10 06:18:35,2023,3,March,2023-03,10,Friday,1
2023-03-10 07:38:44,2023,3,March,2023-03,10,Friday,1
2023-03-10 11:05:36,2023,3,March,2023-03,10,Friday,1
2023-03-10 11:42:14,2023,3,March,2023-03,10,Friday,1
2023-03-10 11:52:07,2023,3,March,2023-03,10,Friday,1
2023-03-10 15:30:06,2023,3,March,2023-03,10,Friday,1
2023-03-10 22:27:26,2023,3,March,2023-03,10,Friday,1
2023-03-10 23:19:35,2023,3,March,2023-03,10,Friday,1
2023-03-11 06:46:49,2023,3,March,2023-03,11,Saturday,1
2023-03-11 06:47:48,2023,3,March,2023-03,11,Saturday,1
2023-03-11 08:31:05,2023,3,March,2023-03,11,Saturday,1
2023-03-11 13:18:50,2023,3,March,2023-03,11,Saturday,1
2023-03-11 15:42:23,2023,3,March,2023-03,11,Saturday,1
2023-03-11 16:36:42,2023,3,March,2023-03,11,Saturday,1
2023-03-11 18:08:42,2023,3,March,2023-03,11,Saturday,1
2023-03-11 22:02:53,2023,3,March,2023-03,11,Saturday,1
2023-03-11 22:42:57,2023,3,March,2023-03,11,Saturday,1
2023-03-12 00:27:44,2023,3,March,2023-03,12,Sunday,1
2023-03-12 13:31:25,2023,3,March,2023-03,12,Sunday,1
2023-03-12 15:13:32,2023,3,March,2023-03,12,Sunday,1
2023-03-12 15:15:05,2023,3,March,2023-03,12,Sunday,1
2023-03-12 17:44:45,2023,3,March,2023-03,12,Sunday,1
2023-03-12 20:26:27,2023,3,March,2023-03,12,Sunday,1
2023-03-12 22:02:36,2023,3,March,2023-03,12,Sunday,1
2023-03-12 22:40:57,2023,3,March,2023-03,12,Sunday,1
2023-03-13 02:48:01,2023,3,March,2023-03,13,Monday,1
2023-03-13 04:58:32,2023,3,March,2023-03,13,Monday,1
2023-03-13 08:32:32,2023,3,March,2023-03,13,Monday,1
2023-03-13 08:58:29,2023,3,March,2023-03,13,Monday,1
2023-03-13 10:33:24,2023,3,March,2023-03,13,Monday,1
2023-03-13 16:58:53,2023,3,March,2023-03,13,Monday,1
2023-03-13 18:41:44,2023,3,March,2023-03,13,Monday,1
2023-03-13 20:33:48,2023,3,March,2023-03,13,Monday,1
2023-03-13 21:05:54,2023,3,March,2023-03,13,Monday,1
2023-03-13 22:15:28,2023,3,March,2023-03,13,Monday,1
2023-03-14 00:51:46,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 01:24:02,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 02:00:42,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 02:31:27,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 03:47:22,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 04:40:14,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 08:57:26,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 09:37:49,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 09:54:19,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 12:55:41,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 14:26:55,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 17:00:34,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 20:57:49,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 21:08:05,2023,3,March,2023-03,14,Tuesday,1
2023-03-14 21:37:20,2023,3,March,2023-03,14,Tuesday,1
2023-03-15 02:51:04,2023,3,March,2023-03,15,Wednesday,1
2023-03-15 08:46:44,2023,3,March,2023-03,15,Wednesday,1
2023-03-15 09:33:02,2023,3,March,2023-03,15,Wednesday,1
2023-03-15 12:31:58,2023,3,March,2023-03,15,Wednesday,1
2023-03-15 13:10:32,2023,3,March,2023-03,15,Wednesday,1
2023-03-15 20:27:05,2023,3,March,2023-03,15,Wednesday,1
2023-03-15 21:01:15,2023,3,March,2023-03,15,Wednesday,1
2023-03-15 23:01:01,2023,3,March,2023-03,15,Wednesday,1
2023-03-16 00:38:05,2023,3,March,2023-03,16,Thursday,1
2023-03-16 00:52:14,2023,3,March,2023-03,16,Thursday,1
2023-03-16 01:01:30,2023,3,March,2023-03,16,Thursday,1
2023-03-16 02:23:38,2023,3,March,2023-03,16,Thursday,1
2023-03-16 02:46:03,2023,3,March,2023-03,16,Thursday,1
2023-03-16 03:48:05,2023,3,March,2023-03,16,Thursday,1
2023-03-16 04:26:56,2023,3,March,2023-03,16,Thursday,1
2023-03-16 06:39:44,2023,3,March,2023-03,16,Thursday,1
2023-03-16 07:35:08,2023,3,March,2023-03,16,Thursday,1
2023-03-16 12:54:58,2023,3,March,2023-03,16,Thursday,1
2023-03-16 14:13:16,2023,3,March,2023-03,16,Thursday,1
2023-03-16 14:26:26,2023,3,March,2023-03,16,Thursday,1
2023-03-16 21:03:16,2023,3,March,2023-03,16,Thursday,1
2023-03-17 04:36:43,2023,3,March,2023-03,17,Friday,1
2023-03-17 05:02:26,2023,3,March,2023-03,17,Friday,1
2023-03-17 05:14:00,2023,3,March,2023-03,17,Friday,1
2023-03-17 05:46:09,2023,3,March,2023-03,17,Friday,1
2023-03-17 10:19:24,2023,3,March,2023-03,17,Friday,1
2023-03-17 11:41:04,2023,3,March,2023-03,17,Friday,1
2023-03-17 16:31:29,2023,3,March,2023-03,17,Friday,1
2023-03-17 20:19:53,2023,3,March,2023-03,17,Friday,1
2023-03-18 00:55:35,2023,3,March,2023-03,18,Saturday,1
2023-03-18 02:06:32,2023,3,March,2023-03,18,Saturday,1
2023-03-18 05:46:33,2023,3,March,2023-03,18,Saturday,1
2023-03-18 07:40:57,2023,3,March,2023-03,18,Saturday,1
2023-03-18 08:26:21,2023,3,March,2023-03,18,Saturday,1
2023-03-18 18:50:58,2023,3,March,2023-03,18,Saturday,1
2023-03-18 19:28:35,2023,3,March,2023-03,18,Saturday,1
2023-03-18 19:34:12,2023,3,March,2023-03,18,Saturday,1
2023-03-18 19:56:59,2023,3,March,2023-03,18,Saturday,1
2023-03-18 20:59:39,2023,3,March,2023-03,18,Saturday,1
2023-03-19 00:01:44,2023,3,March,2023-03,19,Sunday,1
2023-03-19 03:09:56,2023,3,March,2023-03,19,Sunday,1
2023-03-19 03:25:49,2023,3,March,2023-03,19,Sunday,1
2023-03-19 03:32:35,2023,3,March,2023-03,19,Sunday,1
2023-03-19 09:27:23,2023,3,March,2023-03,19,Sunday,1
2023-03-19 09:34:14,2023,3,March,2023-03,19,Sunday,1
2023-03-19 13:25:38,2023,3,March,2023-03,19,Sunday,1
2023-03-19 14:17:56,2023,3,March,2023-03,19,Sunday,1
2023-03-19 15:15:51,2023,3,March,2023-03,19,Sunday,1
2023-03-19 15:49:53,2023,3,March,2023-03,19,Sunday,1
2023-03-19 16:35:11,2023,3,March,2023-03,19,Sunday,1
2023-03-19 19:16:07,2023,3,March,2023-03,19,Sunday,1
2023-03-19 20:26:52,2023,3,March,2023-03,19,Sunday,1
2023-03-19 21:03:18,2023,3,March,2023-03,19,Sunday,1
2023-03-19 23:16:34,2023,3,March,2023-03,19,Sunday,1
2023-03-20 01:16:52,2023,3,March,2023-03,20,Monday,1
2023-03-20 02:59:29,2023,3,March,2023-03,20,Monday,1
2023-03-20 05:17:45,2023,3,March,2023-03,20,Monday,1
2023-03-20 06:24:58,2023,3,March,2023-03,20,Monday,1
2023-03-20 08:48:32,2023,3,March,2023-03,20,Monday,1
2023-03-20 09:54:34,2023,3,March,2023-03,20,Monday,1
2023-03-20 12:30:53,2023,3,March,2023-03,20,Monday,1
2023-03-20 15:42:45,2023,3,March,2023-03,20,Monday,1
2023-03-20 15:58:44,2023,3,March,2023-03,20,Monday,1
2023-03-20 16:10:25,2023,3,March,2023-03,20,Monday,1
2023-03-20 17:10:30,2023,3,March,2023-03,20,Monday,1
2023-03-20 17:58:04,2023,3,March,2023-03,20,Monday,1
2023-03-20 20:21:08,2023,3,March,2023-03,20,Monday,1
2023-03-20 20:42:13,2023,3,March,2023-03,20,Monday,1
2023-03-21 00:57:57,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 05:11:50,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 07:15:09,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 10:43:26,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 11:23:06,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 11:42:28,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 12:45:15,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 13:56:07,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 14:22:37,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 14:39:38,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 15:09:59,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 17:36:16,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 22:08:22,2023,3,March,2023-03,21,Tuesday,1
2023-03-21 23:44:55,2023,3,March,2023-03,21,Tuesday,1
2023-03-22 05:57:43,2023,3,March,2023-03,22,Wednesday,1
