Order_ID,Customer_ID,Store_ID,Order_Date,Total_Items,Quantity,Total_Gross,Total_Net,Discount_Amount,Payment_Method
28,265,7,2026-02-14 15:59:33,2,3,2316.9,2316.9,0.0,PayPal
29,2476,8,2023-05-12 04:18:07,3,24,1512.74,1506.0800000000002,6.66,Card
30,4185,1,2024-02-17 22:22:23,5,30,915.0799999999999,867.04,48.04,PayPal
31,3902,7,2025-03-11 17:53:30,1,2,73.02,69.37,3.65,Card
32,4868,2,2023-06-08 15:20:11,5,14,616.14,616.14,0.0,Card
33,2881,5,2025-07-27 06:11:16,4,7,500.59,495.79,4.8,PayPal
34,4447,5,2023-06-14 21:42:15,5,5,960.7800000000001,959.11,1.67,Cash
35,2679,1,2023-08-11 03:46:44,4,7,1345.53,1234.57,110.96,Cash
36,1682,7,2016-12-01 18:37:55,3,4,538.43,419.15999999999997,119.27,Cash
37,2487,1,2024-06-04 02:53:34,3,23,1237.93,1182.01,55.92,Card
38,3850,9,2025-01-09 21:18:05,2,4,114.41000000000001,113.47999999999999,0.93,Card
39,3394,1,2024-08-02 16:45:41,3,16,2228.0299999999997,1855.2,372.83,PayPal
40,3955,8,2025-12-09 00:41:30,4,6,896.3900000000001,728.43,167.96,Cash
41,1370,1,2023-08-06 09:56:34,4,9,833.52,731.12,102.39999999999999,Card
42,766,6,2024-05-18 10:28:55,2,2,139.89,139.89,0.0,Card
43,4911,2,2024-04-23 22:46:15,1,2,343.22,274.58,68.64,PayPal
44,3214,9,2024-12-03 18:43:14,4,24,2303.73,2264.07,39.66,PayPal
45,4005,1,2025-07-29 13:54:39,3,4,373.33,317.39,55.94,Card
46,3239,3,2023-03-24 22:58:13,2,2,889.05,629.72,259.33000000000004,Cash
47,4069,10,2024-09-06 09:41:07,2,12,229.3,223.24,6.06,Cash
48,4117,5,2024-09-10 09:17:14,4,7,433.26,380.83,52.43,Card
49,1712,8,2026-01-15 20:16:49,1,1,139.84,132.85,6.99,PayPal
50,3890,6,2025-09-01 22:48:17,3,4,1215.73,1121.8899999999999,93.84,Card
51,4999,4,2024-05-31 23:32:16,1,2,74.58,70.85,3.73,Cash
52,2028,1,2023-07-26 06:25:59,4,7,1493.84,1201.64,292.2,PayPal
53,3985,9,2025-03-02 08:43:12,1,1,18.27,18.27,0.0,Card
54,80,8,2025-01-20 02:57:48,2,4,267.68,267.68,0.0,Card
55,433,10,2025-09-30 14:28:52,4,10,1411.06,1251.29,159.77,Card
56,3715,5,2025-03-01 00:56:52,2,3,585.98,557.99,27.99,Card
57,3498,2,2024-11-25 11:55:05,1,4,136.36,109.09,27.27,Card
58,4312,9,2023-09-04 10:47:50,1,1,355.92,320.33,35.59,PayPal
59,1273,10,2023-04-22 08:27:45,3,5,429.06999999999994,392.31000000000006,36.760000000000005,Cash
60,3655,3,2023-10-07 19:36:18,3,12,313.78999999999996,305.17999999999995,8.61,Card
61,4220,5,2024-04-24 19:45:46,3,12,406.63,387.15,19.48,Cash
62,4714,4,2026-01-16 03:23:37,2,4,516.54,390.68,125.86,Cash
63,494,7,2024-03-11 19:57:08,4,6,860.5,824.0,36.5,Card
64,1648,6,2023-06-12 10:39:17,2,6,1317.4,935.5,381.9,PayPal
65,216,4,2023-10-19 14:26:45,2,4,2619.48,2619.48,0.0,Card
66,1020,4,2025-03-18 19:40:04,5,24,2011.27,1947.14,64.13,Card
67,3785,3,2025-10-04 22:10:30,4,25,1074.43,981.47,92.96000000000001,PayPal
68,440,4,2025-01-12 18:24:31,5,19,1041.9,925.5,116.4,Cash
69,4880,10,2024-12-01 06:19:40,3,6,962.79,960.19,2.6,PayPal
70,273,3,2024-11-14 01:38:11,1,1,16.74,16.74,0.0,Cash
71,4147,6,2024-01-02 02:59:49,5,24,15290.69,15280.869999999999,9.82,Card
72,1319,2,2025-07-13 14:20:25,3,9,1049.3500000000001,1049.35,0.0,PayPal
73,4679,6,2025-11-07 11:43:38,1,5,346.55,346.55,0.0,Card
74,1532,8,2023-03-03 05:23:01,2,7,2163.76,2148.67,15.09,PayPal
75,4911,1,2023-06-25 01:08:17,2,2,152.44,151.47,0.97,PayPal
76,3757,1,2024-11-12 05:11:02,1,4,353.4,318.06,35.34,Card
77,2266,2,2024-04-29 09:44:59,2,3,516.26,492.52,23.74,Cash
78,168,4,2023-11-04 18:18:15,2,7,2274.37,2274.37,0.0,Cash
79,4228,10,2025-01-04 01:16:26,3,6,2098.2,2091.06,7.14,Card
80,3654,4,2024-03-03 05:37:52,5,29,1657.47,1546.22,111.25,PayPal
81,2101,9,2025-12-21 20:26:14,3,7,2092.69,1917.91,174.78,Card
82,4532,5,2023-06-26 22:00:47,3,4,196.63,196.63,0.0,Cash
83,1396,8,2025-11-17 09:32:51,4,8,876.52,773.53,102.99,PayPal
84,214,7,2024-07-25 22:05:20,5,19,1216.69,1119.85,96.84,Cash
85,1854,9,2023-07-19 18:05:18,2,6,754.46,672.3,82.16,PayPal
86,3967,1,2023-03-08 20:45:29,4,7,264.37,262.51,1.86,PayPal
87,1566,6,2023-09-27 07:09:27,1,2,91.86,91.86,0.0,Cash
88,3529,6,2026-01-02 15:19:47,2,4,151.39,151.39,0.0,PayPal
89,4110,8,2024-12-28 23:13:13,4,7,374.52,367.64,6.88,Cash
90,2197,10,2024-02-25 19:25:33,5,37,19722.74,17086.73,2636.01,PayPal
91,1672,1,2023-08-25 01:13:32,1,10,548.2,493.38,54.82,Card
92,3139,7,2023-02-26 01:56:57,1,2,81.96,65.57,16.39,Card
93,213,10,2024-05-03 02:36:27,1,2,89.3,84.84,4.46,PayPal
94,3298,4,2026-02-22 20:55:10,1,4,67.16,67.16,0.0,Card
95,1935,1,2023-10-13 15:38:29,2,3,223.6,213.07,10.53,Cash
96,2388,3,2025-01-23 08:23:24,5,9,1281.07,1241.72,39.349999999999994,Card
97,3711,4,2026-02-02 05:00:42,5,9,1531.82,1492.16,39.66,PayPal
98,894,3,2023-08-22 11:07:46,3,10,717.09,676.6,40.49,Card
99,2001,8,2025-01-22 21:25:56,4,11,2272.7200000000003,2239.83,32.89,Cash
100,1932,3,2023-07-07 11:50:42,4,6,173.98000000000002,146.47,27.509999999999998,PayPal
101,1672,4,2025-03-15 03:01:21,1,2,176.7,176.7,0.0,Cash
102,3435,8,2025-09-25 13:11:25,4,6,167.19,162.03,5.16,PayPal
103,2257,4,2024-02-10 03:30:50,2,23,917.2399999999999,914.4100000000001,2.83,PayPal
104,4540,2,2023-08-14 05:31:56,1,1,34.09,34.09,0.0,Cash
105,1966,2,2025-08-24 15:11:32,3,24,1179.32,1076.88,102.44,Cash
106,4127,5,2023-07-08 13:36:50,1,10,67.2,53.76,13.44,Cash
107,2284,8,2024-04-06 19:03:10,3,22,1748.97,1588.25,160.72,PayPal
108,461,7,2025-12-11 20:02:08,1,1,36.51,25.56,10.95,Card
109,168,5,2023-07-26 20:38:09,4,7,2026.5600000000002,1933.53,93.03,PayPal
110,286,1,2024-01-19 10:22:47,3,7,1142.88,1111.77,31.11,PayPal
111,932,4,2024-02-20 15:49:37,2,5,263.07,195.1,67.97,PayPal
112,2280,6,2025-05-20 22:55:06,5,6,1236.81,1174.43,62.379999999999995,Card
113,2549,5,2026-02-06 03:34:36,3,3,312.0,306.82000000000005,5.18,Card
114,2009,3,2026-01-11 08:33:46,2,4,597.26,585.25,12.01,Card
115,2945,7,2023-11-11 11:19:19,2,10,624.3,587.79,36.51,Cash
116,4907,2,2023-11-02 12:35:22,4,30,2510.21,2485.9100000000003,24.3,PayPal
117,2030,3,2025-02-03 03:26:25,5,20,623.78,599.89,23.89,Card
118,3850,5,2023-07-11 03:46:53,2,4,68.7,68.7,0.0,PayPal
119,2428,5,2025-11-07 14:29:31,3,3,1167.65,1167.65,0.0,Cash
120,2909,7,2023-12-26 12:40:24,2,3,149.97,149.97,0.0,PayPal
121,2684,8,2024-04-29 23:55:36,1,4,1268.64,1268.64,0.0,Card
122,4789,9,2023-04-22 17:01:21,2,2,154.97,147.63,7.34,PayPal
123,3836,2,2024-02-07 21:31:12,2,21,166.48000000000002,160.06,6.42,Card
124,3301,2,2025-08-04 11:04:41,2,3,963.96,916.25,47.71,Card
125,3374,4,2024-05-10 19:16:59,1,1,360.73,342.69,18.04,PayPal
126,669,2,2024-07-07 13:14:36,2,21,528.16,528.16,0.0,Cash
127,3695,8,2024-06-02 04:11:17,4,5,2079.28,2070.71,8.57,Cash
128,4876,4,2023-03-10 22:27:26,1,1,999.87,799.9,199.97,Cash
129,1430,8,2024-07-24 22:15:56,5,22,1180.24,1136.67,43.57,Card
130,1061,6,2024-02-22 23:43:26,2,5,869.64,864.35,5.29,PayPal
131,342,6,2024-08-12 17:37:18,3,8,1313.93,1263.3,50.63,Card
132,3085,4,2023-11-06 09:38:19,5,24,1109.3899999999999,1053.4,55.99,Card
133,3872,8,2024-07-24 04:18:39,4,4,183.91,173.84,10.07,PayPal
134,761,5,2023-11-01 22:26:30,3,13,370.02000000000004,328.14,41.88,Cash
135,3993,9,2025-04-07 21:36:55,1,1,42.36,38.12,4.24,Card
136,2338,8,2024-04-04 23:14:10,2,3,462.77,437.65,25.12,PayPal
137,413,1,2025-04-23 15:35:48,4,37,1280.93,1248.56,32.370000000000005,Cash
138,3008,10,2023-09-28 23:49:08,3,12,672.55,637.52,35.03,Cash
139,548,2,2024-12-12 16:55:39,2,4,585.12,585.12,0.0,PayPal
140,926,7,2026-01-24 05:37:20,5,7,1597.29,1596.29,1.0,Card
141,1822,3,2024-08-11 06:36:27,5,7,653.14,609.35,43.79,Card
142,3146,3,2025-11-20 01:54:47,1,20,9645.599999999999,9163.32,482.28,PayPal
143,2411,2,2023-09-08 08:14:10,4,9,712.4,656.82,55.58,Card
144,3235,10,2023-03-06 19:07:29,2,4,470.46,470.46000000000004,0.0,Card
145,433,10,2024-02-10 23:07:07,1,3,265.04999999999995,212.04,53.01,PayPal
146,1234,9,2023-07-27 15:24:18,4,9,2414.87,2296.87,118.0,PayPal
147,3404,8,2025-12-08 22:39:51,5,36,5313.0,5044.46,268.53999999999996,Card
148,956,7,2025-10-27 05:39:17,5,15,1069.8,1058.61,11.19,Cash
149,4555,1,2024-09-30 22:04:08,3,16,4496.650000000001,3862.3300000000004,634.32,Cash
150,2133,7,2023-06-06 19:10:21,1,1,180.22,162.2,18.02,Card
151,3151,2,2025-08-15 13:35:56,1,1,36.96,36.96,0.0,Cash
152,2423,8,2025-03-21 04:03:43,3,5,555.39,536.0699999999999,19.32,PayPal
153,4055,6,2025-03-16 22:20:08,4,15,252.36,252.35999999999999,0.0,Card
154,4713,9,2025-05-21 12:31:40,3,12,609.55,605.8499999999999,3.7,Card
155,3389,9,2025-10-27 10:01:10,1,1,40.18,40.18,0.0,Card
156,4673,1,2024-08-17 06:32:28,3,5,813.01,813.01,0.0,PayPal
157,2079,3,2023-08-14 22:37:20,2,2,133.64,129.98000000000002,3.66,PayPal
158,120,9,2023-04-04 06:39:32,3,6,597.79,597.79,0.0,Cash
159,3909,2,2026-01-12 11:57:00,2,14,4566.26,4347.3,218.96,PayPal
160,2586,1,2023-02-25 03:19:05,2,3,825.2800000000001,704.56,120.72,Cash
161,2163,3,2024-09-01 22:26:08,1,1,13.06,10.45,2.61,PayPal
162,3487,10,2024-07-01 22:43:09,3,24,4975.31,4921.92,53.39,Cash
163,543,5,2026-01-31 13:26:09,1,1,16.79,13.43,3.36,PayPal
164,4602,10,2024-12-07 02:13:25,4,5,1598.8400000000001,1522.9,75.94,PayPal
165,4867,7,2024-09-04 23:55:18,4,13,1370.77,1134.23,236.54,Card
166,1371,7,2024-06-11 13:52:17,2,13,325.70000000000005,300.33000000000004,25.37,Cash
167,3669,7,2025-11-11 23:23:51,2,3,836.14,836.14,0.0,Cash
168,4009,1,2024-01-14 11:07:24,2,5,357.57,357.57,0.0,Card
169,2599,4,2025-05-25 08:30:18,4,6,222.62,216.26,6.359999999999999,PayPal
170,506,9,2024-06-26 08:54:12,3,7,311.36,300.2,11.16,Card
171,3830,9,2023-06-23 18:16:45,4,24,1998.53,1896.0500000000002,102.48,Card
172,3045,4,2024-04-24 22:56:52,2,2,279.36,279.36,0.0,Cash
173,898,2,2026-02-13 18:11:11,5,29,1781.64,1750.17,31.470000000000002,Cash
174,3767,4,2023-09-01 07:02:26,2,4,793.56,710.1999999999999,83.36,Card
175,4491,9,2025-12-22 14:02:40,2,12,734.62,679.96,54.66,Card
176,1573,9,2024-03-15 07:20:48,2,10,267.25,245.93,21.32,Cash
177,1379,1,2025-12-25 22:55:47,2,8,1481.1799999999998,1431.23,49.95,Cash
178,4910,5,2024-06-14 14:18:51,5,47,7013.489999999999,7013.49,0.0,Cash
179,1607,10,2016-08-03 01:43:41,1,3,84.99,76.49,8.5,PayPal
180,1087,10,2025-06-25 09:22:26,2,2,126.57,116.86999999999999,9.7,Cash
181,4955,5,2025-07-20 18:50:39,1,1,24.02,24.02,0.0,PayPal
182,2108,4,2024-01-22 05:03:29,3,5,2024.48,2024.48,0.0,Cash
183,3639,5,2025-03-18 17:00:20,4,14,809.7900000000001,806.11,3.68,Cash
184,3545,9,2025-10-11 03:43:36,1,3,166.74,166.74,0.0,PayPal
185,369,5,2023-10-15 23:53:09,3,4,246.67,239.23,7.44,Cash
186,4898,6,2024-07-16 16:10:41,3,9,1881.67,1443.41,438.26,Cash
187,4112,7,2023-06-12 15:22:58,2,2,110.89,92.44999999999999,18.44,Card
188,2323,4,2023-04-07 11:14:07,2,3,500.67999999999995,475.64,25.04,Cash
189,2683,6,2024-06-30 14:49:03,3,22,4143.08,3950.0999999999995,192.98000000000002,Cash
190,4929,9,2024-02-22 21:34:50,1,2,1719.0,1719.0,0.0,Card
191,2636,2,2023-12-08 11:33:44,3,31,18096.55,16649.71,1446.84,Cash
192,94,7,2023-03-29 20:52:42,1,2,28.78,20.15,8.63,Card
193,3036,8,2024-10-03 22:38:35,2,3,129.0,129.0,0.0,Card
194,4188,3,2025-06-16 18:22:07,1,1,1067.94,1067.94,0.0,Cash
195,3102,6,2023-10-07 22:54:21,2,4,609.66,605.98,3.68,PayPal
196,1721,4,2023-05-03 22:36:01,4,15,1473.6599999999999,1335.99,137.67,Cash
197,546,10,2025-05-22 15:57:17,2,4,1021.9399999999999,1021.9399999999999,0.0,Cash
198,1854,1,2023-08-15 02:43:41,1,1,69.31,65.84,3.47,PayPal
199,2770,2,2023-05-09 09:15:51,4,9,1479.61,1452.79,26.82,Cash
200,632,2,2024-02-12 13:47:51,3,6,1329.45,1312.43,17.02,Card
201,4447,2,2024-11-16 12:54:31,1,4,249.68,237.2,12.48,Cash
202,622,7,2024-03-01 15:01:33,5,14,3097.1800000000003,2954.62,142.56,Card
203,3106,6,2024-06-25 02:31:18,2,4,392.1,388.37,3.73,Card
204,672,2,2025-04-23 07:45:56,2,23,1926.8600000000001,1926.8600000000001,0.0,PayPal
205,4025,7,2024-04-05 05:36:23,3,3,447.49,429.45,18.04,Card
206,3058,3,2023-03-27 02:29:26,4,18,662.07,634.09,27.98,PayPal
207,2182,6,2025-02-04 07:36:07,2,6,201.78,201.78,0.0,PayPal
208,3235,3,2024-06-04 05:33:05,5,16,578.39,534.4200000000001,43.97,Cash
209,4338,8,2020-05-03 19:52:49,1,1,256.13,256.13,0.0,Cash
210,3110,10,2024-01-07 04:35:24,2,5,1433.31,1433.31,0.0,PayPal
211,1082,4,2024-05-28 21:46:57,4,7,747.67,689.5,58.17,PayPal
212,2859,6,2025-12-02 06:33:47,2,5,2034.3899999999999,1841.48,192.91,PayPal
213,1995,2,2023-06-07 20:10:23,4,9,738.0799999999999,735.8299999999999,2.25,Cash
214,3923,8,2023-10-27 19:53:07,3,5,1215.64,1204.52,11.12,Cash
215,687,8,2024-07-13 09:25:32,2,4,270.65,270.65,0.0,Card
216,4098,9,2026-01-08 21:56:26,2,4,169.70999999999998,162.41,7.3,Cash
217,256,6,2023-04-22 17:46:56,2,4,869.64,844.1800000000001,25.46,Cash
218,984,1,2024-10-14 20:35:47,5,12,4787.6,4787.04,0.56,PayPal
219,4600,7,2024-10-19 04:58:32,4,7,578.21,542.6,35.61,PayPal
220,69,7,2024-01-03 15:50:41,3,6,278.77,278.77,0.0,PayPal
221,2905,10,2025-12-29 04:14:09,1,1,44.65,40.18,4.47,Cash
222,882,10,2024-06-13 18:25:09,2,13,7749.05,7733.58,15.47,Card
223,2969,10,2025-08-28 19:41:31,3,4,179.85,170.85,9.0,Cash
224,387,5,2025-02-25 01:18:02,4,14,806.12,769.38,36.74,Card
225,2510,9,2023-03-07 07:07:48,2,2,146.05,123.19,22.86,PayPal
226,2098,7,2024-07-12 04:23:15,3,9,5541.21,5197.41,343.8,PayPal
227,2179,1,2025-01-23 11:50:13,1,5,830.05,788.55,41.5,Card
228,2250,4,2023-05-19 15:57:26,5,34,1579.3100000000002,1516.8899999999999,62.42,Card
229,3389,9,2024-07-02 03:42:30,5,25,1317.79,1253.3600000000001,64.43,Cash
230,3968,1,2025-09-06 02:20:00,1,20,1132.8,1019.52,113.28,Cash
231,1644,6,2025-05-30 14:25:28,2,21,3855.57,3855.57,0.0,Cash
232,3885,9,2025-04-05 15:45:37,1,10,409.79999999999995,409.8,0.0,Cash
233,4457,7,2024-02-05 20:16:56,1,4,473.08,473.08,0.0,PayPal
234,202,5,2023-06-05 02:16:25,3,23,661.55,637.44,24.11,Cash
235,1398,5,2025-05-23 22:32:07,1,1,32.08,25.66,6.42,Card
236,3589,4,2023-03-29 13:51:38,1,1,33.29,33.29,0.0,PayPal
237,4534,1,2023-11-28 22:58:38,1,1,24.02,19.22,4.8,PayPal
238,3550,10,2025-11-18 14:35:30,3,3,1008.91,963.7199999999999,45.19,Card
239,1496,2,2024-06-18 22:16:23,3,24,1892.75,1784.6200000000001,108.13,PayPal
240,2441,1,2025-05-20 04:50:23,4,17,2031.22,2014.73,16.490000000000002,PayPal
241,3403,1,2024-10-02 10:04:10,4,8,656.08,612.5,43.58,Cash
242,1752,6,2023-08-29 08:15:39,1,1,55.47,55.47,0.0,Cash
243,4094,8,2026-01-15 20:29:26,2,12,1519.26,1326.35,192.91,Cash
244,3481,7,2023-04-04 01:14:29,1,2,91.76,73.41,18.35,PayPal
245,2439,2,2025-12-29 18:57:43,1,4,353.6,353.6,0.0,PayPal
246,4455,7,2024-10-11 02:17:57,1,1,11.27,11.27,0.0,Cash
247,947,10,2024-05-12 13:28:08,4,29,1934.3600000000001,1781.6,152.76,PayPal
248,4129,7,2024-09-14 17:18:19,5,22,1986.33,1986.33,0.0,Cash
249,4223,2,2024-05-19 20:03:49,4,23,17290.39,15569.140000000001,1721.25,Card
250,4490,6,2024-03-28 17:33:26,1,1,44.65,44.65,0.0,Cash
251,1706,3,2025-09-06 10:08:46,2,2,1012.93,711.66,301.27,Cash
252,1282,4,2025-01-22 11:11:25,2,3,125.56,115.16,10.4,Cash
253,3293,9,2025-05-06 13:18:38,1,1,60.6,60.6,0.0,Cash
254,473,1,2024-10-11 10:41:49,5,11,963.79,864.49,99.3,Cash
255,1903,1,2025-02-01 18:31:17,5,28,2661.8599999999997,2659.28,2.58,Card
256,1522,5,2025-10-21 07:19:19,4,17,920.37,772.69,147.68,PayPal
257,754,9,2025-06-08 00:43:54,1,1,44.4,44.4,0.0,Cash
258,2944,8,2024-02-17 10:37:51,2,6,170.14,170.14000000000001,0.0,Cash
259,2024,2,2023-11-18 11:00:50,3,5,618.91,558.6899999999999,60.22,Cash
260,803,1,2023-03-19 13:25:38,3,9,446.89,433.03,13.86,Card
261,1303,9,2023-04-24 20:25:59,3,13,993.1600000000001,950.8,42.36,PayPal
262,3694,4,2025-10-08 11:59:25,4,28,10254.42,10190.7,63.72,Card
263,2407,3,2025-12-14 04:25:44,2,4,430.01,426.77,3.24,Card
264,1747,1,2023-12-20 16:07:04,3,27,20801.27,20697.780000000002,103.49000000000001,PayPal
265,4743,5,2025-01-24 03:17:16,4,14,1941.6499999999999,1914.8600000000001,26.79,PayPal
266,2946,5,2025-05-05 19:07:53,5,5,303.13,303.13,0.0,PayPal
267,188,8,2025-10-27 13:13:51,3,4,251.06,245.13,5.93,Card
268,4392,1,2023-05-16 11:19:30,5,7,2285.9900000000002,2264.12,21.87,PayPal
269,2073,9,2024-02-03 04:08:14,5,19,944.4300000000001,798.99,145.44,PayPal
270,1370,7,2024-12-19 09:56:06,5,16,1130.1100000000001,1030.56,99.55,Cash
271,1169,9,2025-02-07 07:52:44,4,8,437.01,435.89,1.12,PayPal
272,4371,10,2024-10-21 15:35:40,1,2,1999.74,1999.74,0.0,Cash
273,3603,5,2024-12-06 13:14:57,5,54,20602.850000000002,20317.41,285.44,Card
274,2452,10,2025-07-11 05:50:36,5,43,974.6099999999999,953.0,21.61,Cash
275,432,8,2024-01-29 21:56:38,3,13,1024.35,847.6499999999999,176.7,PayPal
276,4523,4,2023-07-20 00:44:50,5,10,691.8000000000001,594.39,97.41,PayPal
277,3840,7,2025-08-16 12:38:41,3,15,1435.61,1402.47,33.14,PayPal
278,1299,1,2024-10-05 20:34:03,1,1,28.69,25.82,2.87,PayPal
279,1596,9,2025-01-03 03:36:55,4,6,295.13,268.34,26.79,Card
280,4712,8,2024-11-20 13:33:25,1,1,103.69,103.69,0.0,Cash
281,4286,9,2024-01-31 12:53:05,3,25,3201.28,2738.82,462.46000000000004,PayPal
282,4914,3,2025-02-11 06:15:32,1,2,509.2,509.2,0.0,PayPal
283,3511,10,2025-02-03 00:22:45,2,3,1006.06,963.0799999999999,42.98,PayPal
284,1542,5,2025-07-16 06:28:06,3,3,75.84,75.84,0.0,Card
285,386,1,2023-09-29 19:41:51,5,42,23276.570000000003,23166.18,110.39,Cash
286,3459,10,2025-05-20 16:14:19,3,3,344.73,344.73,0.0,Card
287,2500,10,2024-09-21 19:27:02,5,14,2098.69,2016.96,81.72999999999999,Card
288,1387,10,2024-07-24 04:10:52,4,9,805.09,733.74,71.35,PayPal
289,1205,6,2023-07-03 22:29:01,1,2,795.16,755.4,39.76,PayPal
290,2136,3,2025-04-30 07:23:51,2,2,157.93,141.54000000000002,16.39,Cash
291,680,4,2023-04-30 09:04:53,3,3,161.14,156.29,4.85,Card
292,1421,3,2024-08-24 07:21:00,5,8,1419.95,1419.95,0.0,PayPal
293,2234,6,2024-11-20 02:43:54,4,5,485.96,440.65,45.31,Cash
294,1046,1,2024-07-25 18:37:54,2,2,793.5300000000001,793.5300000000001,0.0,Cash
295,1766,4,2023-05-23 19:13:39,5,11,3933.15,3536.86,396.29,Card
296,2108,5,2026-01-14 22:40:22,2,2,917.24,871.3699999999999,45.870000000000005,PayPal
297,1036,5,2024-03-20 22:31:20,5,12,3917.25,3745.35,171.9,Cash
298,2040,3,2026-01-27 18:02:04,5,9,529.28,513.61,15.67,Card
299,2723,9,2024-08-12 17:06:23,3,25,2516.05,2071.0699999999997,444.97999999999996,Cash
300,2606,2,2025-06-14 16:25:09,4,6,506.91999999999996,472.75,34.17,Cash
301,841,10,2025-01-15 07:05:27,5,28,2842.49,2816.11,26.38,Card
302,1688,10,2024-01-23 16:58:46,1,3,86.07000000000001,68.86,17.21,PayPal
303,2463,10,2023-04-06 23:07:35,2,2,139.89999999999998,134.75,5.15,PayPal
304,2311,9,2025-01-22 19:41:06,3,4,776.05,680.63,95.42,PayPal
305,2876,9,2024-05-01 17:55:52,3,3,67.68,64.0,3.68,Cash
306,2497,10,2025-08-04 17:19:34,4,27,705.4100000000001,651.85,53.56,Cash
307,3482,9,2024-10-08 20:58:13,4,23,702.52,647.71,54.81,Card
308,1136,8,2025-09-02 07:28:03,3,6,245.64000000000001,245.64000000000001,0.0,Cash
309,2874,5,2025-07-27 14:48:15,3,6,465.29999999999995,465.3,0.0,PayPal
310,1162,6,2024-03-21 04:36:42,5,28,5933.13,5757.780000000001,175.35,Card
311,3431,9,2025-06-09 03:55:03,5,19,5176.849999999999,4245.87,930.98,PayPal
312,3441,8,2024-11-11 19:05:23,5,13,4242.240000000001,3965.11,277.13,PayPal
313,409,10,2025-05-28 15:33:56,5,29,2690.26,2228.8,461.46,Card
314,195,5,2025-07-24 03:08:37,3,16,334.34000000000003,310.44,23.9,Cash
315,3845,9,2025-06-27 13:43:25,5,26,3908.25,2897.9700000000003,1010.28,Cash
316,3902,6,2023-05-02 08:16:31,2,6,961.74,961.74,0.0,Card
317,119,8,2025-12-25 17:49:50,3,7,1771.99,1724.14,47.85,Cash
318,3014,10,2025-02-02 01:54:50,2,7,157.98000000000002,157.98000000000002,0.0,Cash
319,2609,2,2024-12-31 10:26:15,2,7,1238.19,1202.6,35.59,Cash
320,943,5,2017-05-12 03:07:38,3,7,3946.3100000000004,3906.55,39.76,Card
321,758,4,2023-11-21 21:24:29,2,2,498.87,359.34000000000003,139.53,PayPal
322,1267,2,2023-07-02 08:12:03,4,9,806.64,739.66,66.98,Cash
323,4534,5,2023-09-28 15:11:57,4,9,1143.91,873.17,270.74,Card
324,3516,7,2023-06-15 12:47:04,1,3,32.43,32.43,0.0,Cash
325,4037,8,2023-03-14 01:24:02,5,28,1686.57,1410.94,275.63,PayPal
326,729,4,2023-11-03 16:35:10,1,1,36.51,36.51,0.0,Card
327,575,5,2024-08-17 07:29:19,4,24,5846.579999999999,5514.0599999999995,332.52,Card
328,2986,6,2023-04-11 18:23:55,4,19,703.49,694.73,8.76,Cash
